Provincia,Accesos por cada 100 hogares
Formosa,26.58138888888889
Santiago Del Estero,32.591944444444444
Santa Cruz,32.937777777777775
Chaco,33.47277777777778
San Juan,33.61833333333333
Misiones,35.51222222222222
Corrientes,35.59777777777778
Jujuy,35.919999999999995
Catamarca,36.7375
Mendoza,37.265
Salta,41.88666666666667
La Rioja,42.56444444444444
Tucumán,44.12416666666667
San Luis,44.33972222222222
Entre Ríos,51.16444444444445
Chubut,53.114444444444445
Río Negro,53.5675
Neuquén,62.37388888888889
Santa Fe,62.836666666666666
Buenos Aires,63.979444444444454
Córdoba,66.98611111111111
La Pampa,71.27722222222222
Tierra Del Fuego,78.79861111111111
Capital Federal,113.63916666666667
