Provincia;Partido;Localidad;Link Indec;ADSL;CABLEMODEM;DIAL UP;FIBRA OPTICA;OTROS;SATELITAL;WIMAX;WIRELESS;Total general;
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100; 874 ; 4.542 ; -   ; 3 ; -   ; 852 ; -   ; 706 ; 6.977 ;
BUENOS AIRES;25 de Mayo;Del Valle;6854020; 181 ; -   ; -   ; -   ; 10 ; 1 ; -   ; -   ; 192 ;
BUENOS AIRES;25 de Mayo;Gobernador Ugarte;6854040; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 181 ; 181 ;
BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6854060; -   ; 782 ; -   ; 6 ; 167 ; -   ; -   ; 327 ; 1.282 ;
BUENOS AIRES;25 de Mayo;Lucas Monteverde;6854050; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; 6 ;
BUENOS AIRES;25 de Mayo;Ernestina;6854030; 66 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 66 ;
BUENOS AIRES;25 de Mayo;Pedernales;6854070; 568 ; -   ; -   ; -   ; -   ; -   ; -   ; 7 ; 575 ;
BUENOS AIRES;9 de Julio;12 de Octubre;6588030; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 19 ; 19 ;
BUENOS AIRES;9 de Julio;9 de Julio;6588100; 4.313 ; 3.354 ; 82 ; 6.228 ; 83 ; 1 ; -   ; 831 ; 14.892 ;
BUENOS AIRES;9 de Julio;Alfredo Demarchi  (Est. Facundo Quiroga);6588010; 450 ; -   ; -   ; -   ; 60 ; -   ; -   ; -   ; 510 ;
BUENOS AIRES;9 de Julio;Dudignac;6588040; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 463 ; 464 ;
BUENOS AIRES;9 de Julio;Manuel B. Gonnet  (Est. French);6588060; 199 ; -   ; -   ; 2 ; 2 ; -   ; -   ; -   ; 203 ;
BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);6588120; -   ; -   ; -   ; 118 ; -   ; -   ; -   ; 42 ; 160 ;
BUENOS AIRES;9 de Julio;Patricios;6588110; 81 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 81 ;
BUENOS AIRES;Adolfo Alsina;Carhu�;6007010; 780 ; -   ; 1 ; 1.417 ; 1 ; -   ; -   ; 283 ; 2.482 ;
BUENOS AIRES;Adolfo Alsina;Maza;6007070; -   ; -   ; -   ; 390 ; -   ; 2 ; -   ; 14 ; 406 ;
BUENOS AIRES;Adolfo Alsina;Rivera;6007080; -   ; -   ; -   ; 1.202 ; -   ; -   ; -   ; -   ; 1.202 ;
BUENOS AIRES;Adolfo Alsina;Colonia San Miguel Arcánge;6007020; -   ; -   ; -   ; 208 ; -   ; -   ; -   ; -   ; 208 ;
BUENOS AIRES;Adolfo Alsina;Esteban Agustín Gasc�;6007050; -   ; -   ; -   ; 60 ; -   ; -   ; -   ; -   ; 60 ;
BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6014010; 549 ; -   ; 2 ; 943 ; -   ; -   ; -   ; 313 ; 1.807 ;
BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;6014020; -   ; -   ; -   ; 654 ; 6 ; -   ; -   ; 57 ; 717 ;
BUENOS AIRES;Adolfo Gonzales Chaves;Juan E. Barra;6014030; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 46 ;
BUENOS AIRES;Adolfo Gonzales Chaves;Vásque;6014040; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 14 ; 14 ;
BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza;6021010; 457 ; -   ; 6 ; 1 ; -   ; -   ; -   ; 8 ; 472 ;
BUENOS AIRES;Alberti;Mechita;6021030; 285 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 285 ;
BUENOS AIRES;Almirante Brown;Adrogu�;6028010; 214 ; 9.299 ; 59 ; 11.440 ; 2 ; 1 ; -   ; 26 ; 21.041 ;
BUENOS AIRES;Almirante Brown;Burzaco;6028010; 142 ; 16.627 ; 35 ; 11.333 ; 40 ; 2 ; -   ; 310 ; 28.489 ;
BUENOS AIRES;Almirante Brown;Claypole;6028010; 5 ; 7.652 ; 3 ; 4.140 ; 13 ; -   ; -   ; 2 ; 11.815 ;
BUENOS AIRES;Almirante Brown;Don Orione;6028010; -   ; 5.407 ; -   ; -   ; -   ; -   ; -   ; 1 ; 5.408 ;
BUENOS AIRES;Almirante Brown;Glew;6028010; 55 ; 8.227 ; 10 ; 11.652 ; 12 ; -   ; -   ; 54 ; 20.010 ;
BUENOS AIRES;Almirante Brown;Jose Mármo;6028010; -   ; 7.432 ; 1 ; 1.410 ; 2 ; -   ; -   ; 1 ; 8.846 ;
BUENOS AIRES;Almirante Brown;Longchamps;6028010; 30 ; 9.657 ; 20 ; 14.739 ; 24 ; -   ; -   ; 1 ; 24.471 ;
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010; 2 ; 5.417 ; 3 ; 44 ; 2 ; -   ; -   ; 1 ; 5.469 ;
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010; 3 ; 3.474 ; 4 ; 4.066 ; 4 ; -   ; -   ; 1 ; 7.552 ;
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010; 37 ; 10.549 ; 15 ; 9.925 ; 193 ; -   ; -   ; 340 ; 21.059 ;
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010; 26 ; 4.296 ; 4 ; 3.253 ; 131 ; -   ; -   ; 2 ; 7.712 ;
BUENOS AIRES;Almirante Brown;San Jose;6028010; 3 ; 9.378 ; 2 ; 167 ; -   ; 3 ; -   ; 1 ; 9.554 ;
BUENOS AIRES;Arrecifes;Arrecifes;6077010; 906 ; 1.153 ; 12 ; 4.393 ; 60 ; 1 ; -   ; 1.878 ; 8.403 ;
BUENOS AIRES;Arrecifes;Todd;6077020; -   ; -   ; -   ; 304 ; -   ; -   ; -   ; -   ; 304 ;
BUENOS AIRES;Arrecifes;Viñ;6077030; 50 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; 110 ;
BUENOS AIRES;Avellaneda;Avellaneda;6035010; 1.486 ; 8.664 ; 48 ; 5.897 ; 68 ; 5 ; -   ; 80 ; 16.248 ;
BUENOS AIRES;Avellaneda;Crucesita;6035010; 1 ; 4.887 ; -   ; 2.825 ; 2 ; -   ; -   ; -   ; 7.715 ;
BUENOS AIRES;Avellaneda;Dock Sud;6035010; 11 ; 675 ; -   ; 2.415 ; 12 ; -   ; -   ; 26 ; 3.139 ;
BUENOS AIRES;Avellaneda;Gerli;6035010; 3 ; 5.975 ; -   ; 4.534 ; -   ; -   ; -   ; -   ; 10.512 ;
BUENOS AIRES;Avellaneda;Pineyro;6035010; 9 ; 5.948 ; 1 ; 2.403 ; -   ; -   ; -   ; -   ; 8.361 ;
BUENOS AIRES;Avellaneda;Sarand�;6035010; 1.935 ; 9.969 ; 67 ; 11.897 ; 4 ; 3 ; -   ; 1 ; 23.876 ;
BUENOS AIRES;Avellaneda;Villa Domínic;6035010; 16 ; 8.812 ; 2 ; 7.111 ; 11 ; -   ; -   ; 626 ; 16.578 ;
